0.8000,1.7628,0.7102,0.8871
0.4000,1.1749,1.7283,0.9836
0.0000,0.8669,0.8705,0.1835
0.6000,0.9224,1.7611,0.1539
0.8000,0.9988,0.7944,0.4521
0.0000,0.6929,1.6502,0.8132
0.4000,1.2961,0.6760,0.4270
0.8000,1.2223,1.9060,0.0293
0.0000,0.6685,0.8000,0.6083
0.6000,0.8099,1.7830,0.8811
0.0000,1.1869,0.8438,0.5410
0.0000,0.2577,1.7007,0.0937
0.4000,0.6113,0.9268,0.3995
0.4000,0.9158,1.7888,0.5774
0.0000,1.0638,0.8350,0.8004
0.8000,0.9166,1.8301,0.6793
0.6000,0.5198,0.5951,0.6931
0.2000,1.3017,1.7731,0.0032
0.6000,0.8760,0.8639,0.9596
0.2000,0.5329,1.7269,0.4308
0.0000,1.1351,0.7367,0.0370
0.2000,0.8870,1.7424,0.8190
0.8000,1.3699,0.8220,0.9466
0.4000,1.0339,1.7906,0.0214
0.6000,1.3011,0.6711,0.7867
0.0000,0.5017,1.8035,0.4053
0.0000,0.9670,0.6529,0.5920
0.4000,0.9048,1.7359,0.8735
0.0000,1.4413,0.7268,0.4982
0.2000,0.9046,1.7486,0.9989
0.2000,0.9931,1.0211,0.8042
0.8000,1.1841,1.7904,0.6458
0.6000,0.9261,0.7448,0.2210
0.4000,0.9701,1.6984,0.7781
0.8000,0.9991,0.6866,0.5061
0.2000,0.9451,1.6516,0.2699
0.4000,0.6223,0.6177,0.2332
0.2000,0.4500,1.8147,0.1397
0.2000,0.8847,0.7624,0.7104
0.6000,0.6745,1.8841,0.8351
0.0000,0.7542,0.7554,0.9232
0.0000,1.2853,1.6087,0.2062
0.8000,0.8970,0.6794,0.8830
0.0000,0.1642,1.7833,0.2963
0.6000,0.8966,0.8085,0.8510
0.4000,1.2790,1.6920,0.5550
0.0000,1.2544,0.5975,0.9238
0.4000,1.0706,1.7899,0.1575
0.4000,1.0057,0.5643,0.5790
0.2000,0.6862,1.7824,0.1248
